condpair	protein	fdr	pval	log2fc	num_peptides
c1_VS_c2	P40217	0.11556417727167105	0.008490580026348615	1.0856465146466672	3
c1_VS_c2	O75691	0.9982361043694827	0.6526019809753805	-0.3769975629785076	13
c1_VS_c2	Q86XL3	0.8702615039460013	0.18778522469750003	0.036932781269696235	5
c1_VS_c2	Q15276	0.9717424371149986	0.2995468621038089	-0.37569084599718766	6
c1_VS_c2	Q6RFH5	0.9982361043694827	0.9297632932932121	-0.3876257575465682	5
c1_VS_c2	Q7L775	0.9982361043694827	0.6423889831932792	-0.18847259466209199	6
c1_VS_c2	P47897	0.9982361043694827	0.3475106352038557	-0.2896675471406403	23
c1_VS_c2	Q9Y262	0.8932291703298151	0.20372644229851078	-0.3859887143004782	16
c1_VS_c2	Q13330	0.8489734384816731	0.17108629842868872	0.1395704510053711	12
c1_VS_c2	P26358	0.9982361043694827	0.8181429260010145	0.37603711753913416	21
c1_VS_c2	P36776	0.9982361043694827	0.5211334292925016	0.2028593232286206	18
c1_VS_c2	P61081	0.9982361043694827	0.8943388903282736	-0.15386906420036706	5
c1_VS_c2	Q6PKG0	0.9982361043694827	0.35645114212958107	-0.029642281729519077	14
c1_VS_c2	Q709F0	0.9982361043694827	0.783528602637509	-0.2416698008289873	6
c1_VS_c2	Q16594	0.9982361043694827	0.7069179870087969	0.3190388465463494	3
c1_VS_c2	P07259	2.43898468672916e-14	0.0	1.0073010894068912	46
c1_VS_c2	Q15020	0.9982361043694827	0.5038911976921348	0.1869987158919897	14
c1_VS_c2	P29401	0.9982361043694827	0.9839979749691394	0.1234825995407737	16
c1_VS_c2	Q13838	0.9982361043694827	0.5283979570150941	-0.21463225022566057	14
c1_VS_c2	Q16222	0.9982361043694827	0.36677529583428603	-0.15611806025496003	9
c1_VS_c2	P46777	0.9982361043694827	0.5047028737664492	0.05934005523550212	9
c1_VS_c2	Q5T8P6	0.9982361043694827	0.9255902705892998	0.20749119661606663	9
c1_VS_c2	Q92747	0.9982361043694827	0.9599805828911843	0.06579716399513157	8
c1_VS_c2	P16120	1.1196589352638594e-09	1.9671375639518374e-11	1.1176499632086945	6
c1_VS_c2	Q02978	0.9982361043694827	0.5907940070239894	-0.03797569432019129	7
c1_VS_c2	Q9Y4C2	0.778961690054194	0.12877067615892668	0.08879504229139397	12
c1_VS_c2	Q9NTK5	0.9982361043694827	0.3704282291451231	-0.07375043185247879	12
c1_VS_c2	Q9NTG7	0.9563457853635899	0.281511784447388	-0.555509563510495	1
c1_VS_c2	P40825	2.43898468672916e-14	0.0	1.0718098345473306	18
c1_VS_c2	O43505	0.9982361043694827	0.8116133450592455	0.031490744132456644	2
c1_VS_c2	Q9UHD8	0.9982361043694827	0.9202926574673447	0.05991409529942141	23
c1_VS_c2	P04802	8.423824275490125e-11	1.2243539515566226e-12	0.5408749086379192	15
c1_VS_c2	P11498	0.43007851343970027	0.041970607205183974	-0.685385921380075	18
c1_VS_c2	Q9UQC2	0.9982361043694827	0.42147355348146065	0.09375395650333518	6
c1_VS_c2	P14550	0.05927933256299378	0.003957636321886504	-0.18097224402746548	10
c1_VS_c2	Q66K74	0.9982361043694827	0.7233076617986223	0.24968503230694475	9
c1_VS_c2	Q9ULH7	0.9982361043694827	0.36181560358973797	-0.043766206152563804	5
c1_VS_c2	P49454	0.9982361043694827	0.5089596135883079	-0.28558322202886366	31
c1_VS_c2	Q9Y6C2	0.9158152225636744	0.2274545458848405	0.08404292117703616	8
c1_VS_c2	Q9UBC2	0.9982361043694827	0.8354485089048238	-0.07343110840061864	12
c1_VS_c2	Q8N3V7	0.9982361043694827	0.9474894748493663	0.03692130156307716	14
c1_VS_c2	Q8IX12	0.9982361043694827	0.8717376740855265	0.24053629856193318	14
c1_VS_c2	Q96TC7	0.9982361043694827	0.6392836990857249	-0.15688675452553208	2
c1_VS_c2	P82979	0.9982361043694827	0.8346425682732472	-0.2022894515405591	6
c1_VS_c2	Q9Y6M9	0.9982361043694827	0.9705223266013814	-0.16249343199733832	4
c1_VS_c2	Q9UET6	0.9982361043694827	0.7642307059439035	-0.07093046437662487	3
